Minimum charge required by PS: 28.1678 	 corresponding to sample 41
EVs  From  To  Dist #Evs
 326    9   10 8.0500   13
 327    9   10 8.0500   13
 328   13   14 33.2500    7
 329   10    9 8.0500   13
 330    6   12 24.3750    7
 331    9   14 25.7500    7
 332    6   11 18.9500    7
 333   10    9 8.0500   13
 334   13   12 19.0500    7
 335   13    6 12.3750   13
 336   14    9 25.7500    7
 337    3    2 18.8500    7
 338    4    5 4.0000   13
 339    2    3 18.8500    7
 340    3    4 16.2750   13
 341   13   14 33.2500    7
 342   11    6 18.9500    7
 343    6   12 24.3750    7
 344   12   13 19.0500   13
 345   10   11 18.2750    7
 346    4    2 16.7500    7
 347   14    9 25.7500    7
 348    6   12 24.3750    7
 349   13   12 19.0500   13
 350   10    9 8.0500   13
 351    5    4 4.0000   13
 352   12    6 24.3750    7
 353   11   10 18.2750    7
 354    2    3 18.8500   13
 355    3    2 18.8500    7
 356    3    2 18.8500    7
 357    4    5 4.0000   13
 358   10   11 18.2750    7
 359    5    2 16.5750   13
 360    2    5 16.5750   13
 361   10   11 18.2750    7
 362   12   13 19.0500    7
 363    5    4 4.0000   13
 364    5    4 4.0000   13
 365    2    5 16.5750   13
 366    9   10 8.0500   13
 367    2    4 16.7500   13
 368    2    3 18.8500   13
 369   11    6 18.9500    7
 370   14   13 33.2500    7
 371    4    3 16.2750   13
 372   11    6 18.9500    7
 373   13   12 19.0500    7
 374    3    4 16.2750    7
 375   11    6 18.9500    7
